eyeAct,uAct,uPow,lAct,lPow,time
neutral,neutral,0.0,smile,0.262009,1732051110.1084
neutral,neutral,0.0,smile,0.262009,1732051110.1394
neutral,neutral,0.0,smile,0.262009,1732051110.2019
neutral,neutral,0.0,smile,0.220049,1732051110.2643
neutral,neutral,0.0,smile,0.220049,1732051110.3266
neutral,neutral,0.0,smile,0.360632,1732051110.3576
neutral,neutral,0.0,smile,0.360632,1732051110.4201
neutral,neutral,0.0,smile,0.360632,1732051110.4514
neutral,neutral,0.0,smile,0.211159,1732051110.5138
neutral,neutral,0.0,smile,0.211159,1732051110.5763
neutral,neutral,0.0,smile,0.120376,1732051110.6391
neutral,neutral,0.0,smile,0.120376,1732051110.6706
neutral,neutral,0.0,smile,0.120376,1732051110.7016
neutral,neutral,0.0,smile,0.008814,1732051110.7641
neutral,neutral,0.0,smile,0.008814,1732051110.8268
neutral,neutral,0.0,neutral,0.0,1732051110.8891
neutral,neutral,0.0,neutral,0.0,1732051110.9201
neutral,neutral,0.0,neutral,0.0,1732051110.9826
neutral,neutral,0.0,neutral,0.0,1732051111.014
neutral,neutral,0.0,neutral,0.0,1732051111.0768
blink,neutral,0.0,neutral,0.0,1732051111.1389
blink,neutral,0.0,neutral,0.0,1732051111.1703
blink,neutral,0.0,neutral,0.0,1732051111.2329
neutral,neutral,0.0,neutral,0.0,1732051111.2954
neutral,neutral,0.0,neutral,0.0,1732051111.3575
neutral,neutral,0.0,neutral,0.0,1732051111.3889
neutral,neutral,0.0,neutral,0.0,1732051111.4514
neutral,neutral,0.0,neutral,0.0,1732051111.4825
neutral,neutral,0.0,neutral,0.0,1732051111.5451
neutral,neutral,0.0,neutral,0.0,1732051111.6074
neutral,neutral,0.0,neutral,0.0,1732051111.6697
neutral,neutral,0.0,neutral,0.0,1732051111.7007
neutral,surprise,1.0,neutral,0.0,1732051111.7634
neutral,surprise,1.0,neutral,0.0,1732051111.7948
neutral,surprise,1.0,neutral,0.0,1732051111.8572
neutral,surprise,1.0,neutral,0.0,1732051111.9194
neutral,surprise,1.0,neutral,0.0,1732051111.9507
neutral,surprise,0.847436,neutral,0.0,1732051112.0133
neutral,surprise,0.847436,neutral,0.0,1732051112.0755
neutral,surprise,0.705784,neutral,0.0,1732051112.1378
neutral,surprise,0.705784,neutral,0.0,1732051112.1692
neutral,surprise,1.0,neutral,0.0,1732051112.2317
neutral,surprise,1.0,neutral,0.0,1732051112.2629
neutral,surprise,1.0,neutral,0.0,1732051112.3255
neutral,surprise,1.0,neutral,0.0,1732051112.3882
neutral,surprise,1.0,neutral,0.0,1732051112.4194
neutral,surprise,1.0,neutral,0.0,1732051112.4821
neutral,surprise,1.0,neutral,0.0,1732051112.5445
neutral,surprise,1.0,neutral,0.0,1732051112.6066
neutral,surprise,1.0,neutral,0.0,1732051112.6378
neutral,surprise,1.0,neutral,0.0,1732051112.669
neutral,surprise,1.0,neutral,0.0,1732051112.7316
neutral,surprise,1.0,neutral,0.0,1732051112.794
neutral,surprise,1.0,neutral,0.0,1732051112.8567
neutral,surprise,1.0,neutral,0.0,1732051112.8879
neutral,surprise,1.0,neutral,0.0,1732051112.9506
neutral,surprise,1.0,neutral,0.0,1732051112.9816
neutral,surprise,1.0,neutral,0.0,1732051113.0442
neutral,surprise,0.89913,neutral,0.0,1732051113.1066
neutral,surprise,0.89913,neutral,0.0,1732051113.1379
neutral,surprise,0.89913,neutral,0.0,1732051113.2
